State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value
AK,2015,January,12 month-ending,Number of Deaths,4034,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,February,12 month-ending,Number of Deaths,4084,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,March,12 month-ending,Number of Deaths,4101,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,April,12 month-ending,Number of Deaths,4133,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,May,12 month-ending,Number of Deaths,4196,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,June,12 month-ending,Number of Deaths,4201,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,July,12 month-ending,Number of Deaths,4220,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,August,12 month-ending,Number of Deaths,4222,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,September,12 month-ending,Number of Deaths,4242,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,October,12 month-ending,Number of Deaths,4241,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,November,12 month-ending,Number of Deaths,4219,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,December,12 month-ending,Number of Deaths,4193,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,January,12 month-ending,Number of Deaths,4213,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,February,12 month-ending,Number of Deaths,4198,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,March,12 month-ending,Number of Deaths,4230,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,April,12 month-ending,Number of Deaths,4262,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,May,12 month-ending,Number of Deaths,4241,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,June,12 month-ending,Number of Deaths,4261,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,July,12 month-ending,Number of Deaths,4269,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,August,12 month-ending,Number of Deaths,4276,100,0.023386342376052,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,September,12 month-ending,Number of Deaths,4256,100,0.046992481203008,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,October,12 month-ending,Number of Deaths,4291,100,0.069913773013284,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,November,12 month-ending,Number of Deaths,4289,100,0.069946374446258,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,December,12 month-ending,Number of Deaths,4355,100,0.068886337543054,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,January,12 month-ending,Number of Deaths,4374,100,0.068587105624143,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,February,12 month-ending,Number of Deaths,4347,100,0.069013112491373,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,March,12 month-ending,Number of Deaths,4359,100,0.068823124569856,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,April,12 month-ending,Number of Deaths,4325,100,0.069364161849711,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,May,12 month-ending,Number of Deaths,4277,100,0.070142623334113,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,June,12 month-ending,Number of Deaths,4276,100,0.070159027128157,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,July,12 month-ending,Number of Deaths,4236,100,0.070821529745042,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,August,12 month-ending,Number of Deaths,4234,100,0.04723665564478,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,September,12 month-ending,Number of Deaths,4299,100,0.023261223540358,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,October,12 month-ending,Number of Deaths,4283,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,November,12 month-ending,Number of Deaths,4308,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,December,12 month-ending,Number of Deaths,4279,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2018,January,12 month-ending,Number of Deaths,4260,100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,February,12 month-ending,Number of Deaths,4304,100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,March,12 month-ending,Number of Deaths,4286,100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,April,12 month-ending,Number of Deaths,4341,100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,May,12 month-ending,Number of Deaths,4352,100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,June,12 month-ending,Number of Deaths,4309,100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,July,12 month-ending,Number of Deaths,4337,100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,August,12 month-ending,Number of Deaths,4383,100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,September,12 month-ending,Number of Deaths,4322,100,0,Alaska,Underreported due to incomplete data.,*,
AK,2015,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127
AK,2015,February,12 month-ending,Number of Drug Overdose Deaths,127,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,128
AK,2015,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126
AK,2015,April,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127
AK,2015,May,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126
AK,2015,June,12 month-ending,Number of Drug Overdose Deaths,121,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,122
AK,2015,July,12 month-ending,Number of Drug Overdose Deaths,117,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,118
AK,2015,August,12 month-ending,Number of Drug Overdose Deaths,124,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,125
AK,2015,September,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126
AK,2015,October,12 month-ending,Number of Drug Overdose Deaths,120,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,121
AK,2015,November,12 month-ending,Number of Drug Overdose Deaths,115,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,116
AK,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,122
AK,2016,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127
AK,2016,February,12 month-ending,Number of Drug Overdose Deaths,128,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,129
